org.springframework.boot.context.properties.ConfigurationPropertiesBeanRegistrar.createBeanDefinition,0.2198
org.springframework.web.servlet.support.AbstractFlashMapManager.getExpiredFlashMaps,0.0114
org.springframework.context.annotation.AnnotatedBeanDefinitionReader.<init>,0.0656
org.springframework.data.repository.util.ReactiveWrapperConverters.unwrapWrapperTypes,0.0531
org.springframework.boot.actuate.autoconfigure.metrics.data.MetricsRepositoryMethodInvocationListenerBeanPostProcessor.<init>,0.1011
java.util.Comparators$NullComparator.compare,0.0040
java.util.ArrayList.grow,0.0356
org.springframework.boot.loader.net.protocol.jar.JarUrlConnection.connect,0.0531
org.springframework.expression.spel.ast.PropertyOrFieldReference$AccessorValueRef.getValue,0.0884
java.util.IdentityHashMap.entrySet,0.0445
org.antlr.v4.runtime.atn.SingletonPredictionContext.equals,0.0496
org.thymeleaf.engine.Attributes.replaceAttribute,0.0155
org.springframework.beans.factory.support.DefaultListableBeanFactory.getBeanDefinition,0.1188
java.util.LinkedHashMap.get,0.0496
org.h2.jdbc.JdbcPreparedStatement.setInt,0.0065
org.hibernate.annotations.common.reflection.java.JavaReflectionManager$1.caseParameterizedType,0.0337
org.springframework.core.annotation.AbstractMergedAnnotation.lambda$asAnnotationAttributes$0,0.1188
java.nio.channels.spi.AbstractSelectableChannel.<init>,0.0021
org.apache.catalina.connector.OutputBuffer.write,0.6857
java.lang.System.arraycopy,0.0445
org.springframework.boot.loader.jar.NestedJarFile.hasEntry,1.7187
org.springframework.aop.support.AopUtils.canApply,0.0605
java.lang.ThreadLocal$ThreadLocalMap.remove,0.0065
org.hibernate.annotations.common.reflection.java.generics.TypeUtils$2.<init>,0.0337
com.sun.management.internal.DiagnosticCommandImpl.getMBeanInfo,0.0000
net.bytebuddy.implementation.MethodCall.construct,0.0337
org.thymeleaf.context.WebEngineContext$ExchangeAttributeMap.searchNameInIndex,0.0192
org.h2.command.CommandContainer.isTransactional,0.0076
org.apache.tomcat.util.threads.ThreadPoolExecutor.execute,0.0175
org.hibernate.grammars.hql.HqlParser.selectionList,0.0496
java.util.AbstractCollection.containsAll,0.0094
org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun,0.0095
org.springframework.data.repository.query.parser.AbstractQueryCreator.createCriteria,0.0044
java.util.Date.getYear,0.0998
org.apache.catalina.webresources.CachedResource.getURL,0.0605
org.springframework.boot.actuate.autoconfigure.health.HealthEndpointConfiguration.healthStatusAggregator,0.0605
java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$UnmodifiableEntry.getValue,0.0000
org.apache.catalina.webresources.Cache.getResource,0.0075
java.lang.invoke.MemberName.isGetter,0.1011
org.h2.mvstore.Cursor.hasNext,0.0572
jdk.jfr.internal.util.Tokenizer.next,0.0000
java.nio.DirectLongBufferU.get,0.0445
org.springframework.web.servlet.view.InternalResourceViewResolver.instantiateView,0.0079
org.thymeleaf.engine.IteratedGatheringModelProcessable.computeIterationModels,0.1960
org.springframework.core.convert.support.ConversionUtils.invokeConverter,0.0687
org.springframework.aop.support.AopUtils.findAdvisorsThatCanApply,0.1011
java.util.HashMap.newNode,0.0248
jdk.internal.org.objectweb.asm.MethodWriter.computeMethodInfoSize,0.0445
java.lang.StringLatin1.newString,0.0401
org.springframework.expression.spel.CodeFlow.toDescriptorFromObject,0.0565
java.lang.StringBuilder.append,0.0713
java.util.IdentityHashMap.get,0.0534
org.thymeleaf.spring6.view.ThymeleafViewResolver.createView,0.0029
org.hibernate.sql.results.jdbc.internal.DeferredResultSetAccess.executeQuery,0.0614
jdk.internal.org.objectweb.asm.FieldWriter.putFieldInfo,0.1011
org.hibernate.engine.internal.StatefulPersistenceContext.addEntry,0.0131
org.springframework.boot.web.servlet.server.AbstractServletWebServerFactory.<init>,0.1011
org.h2.result.LocalResult.addRow,0.0064
org.springframework.util.ReflectionUtils.doWithMethods,0.0496
org.springframework.validation.support.BindingAwareModelMap.put,0.0116
org.springframework.expression.spel.ast.Indexer.getValueRef,0.0057
